Time (Seconds),Amplitude (Volts) [Filtered 0.3-10.0Hz],,,,,Time (Seconds),,,,Amplitude (Volts) [Filtered 0.3-10.0Hz]
0,0.024806182,,,,,21305,,,,-0.024806182
0.002,0.031726318,,,,,21306,,,,-0.031726318
0.004,0.038421246,,,,,21307,,,,-0.038421246
0.006,0.044869592,,,,,21308,,,-1,-0.044869592
0.008,0.051052197,,,,,21309,,,,-0.051052197
0.01,0.05695242,,,,,21310,,,,-0.05695242
0.012,0.062556306,,,,,21311,,,,-0.062556306
0.014,0.067852769,,,,,21312,,,,-0.067852769
0.016,0.072833878,,,,,21313,,,,-0.072833878
0.018,0.077495143,,,,,21314,,,,-0.077495143
0.02,0.081835878,,,,,21315,,,,-0.081835878
0.022,0.085859676,,,,,21316,,,,-0.085859676
0.024,0.08957479,,,,,21317,,,,-0.08957479
0.026,0.092994161,,,,,21318,,,,-0.092994161
0.028,0.096135003,,,,,21319,,,,-0.096135003
0.03,0.099018041,,,,,21320,,,,-0.099018041
0.032,0.101666782,,,,,21321,,,,-0.101666782
0.034,0.104106872,,,,,21322,,,,-0.104106872
0.036,0.106365341,,,,,21323,,,,-0.106365341
0.038,0.108470111,,,,,21324,,,,-0.108470111
0.04,0.110450104,,,,,21325,,,,-0.110450104
0.042,0.112335365,,,,,21326,,,,-0.112335365
0.044,0.11415647,,,,,21327,,,,-0.11415647
0.046,0.115943279,,,,,21328,,,,-0.115943279
0.048,0.117723517,,,,,21329,,,,-0.117723517
0.05,0.119521645,,,,,21330,,,,-0.119521645
0.052,0.121358112,,,,,21331,,,,-0.121358112
0.054,0.1232489,,,,,21332,,,,-0.1232489
0.056,0.125205405,,,,,21333,,,,-0.125205405
0.058,0.127234627,,,,,21334,,,,-0.127234627
0.06,0.129339474,,,,,21335,,,,-0.129339474
0.062,0.131519119,,,,,21336,,,,-0.131519119
0.064,0.133769377,,,,,21337,,,,-0.133769377
0.066,0.136083075,,,,,21338,,,,-0.136083075
0.068,0.13845054,,,,,21339,,,,-0.13845054
0.07,0.140860089,,,,,21340,,,,-0.140860089
0.072,0.143298198,,,,,21341,,,,-0.143298198
0.074,0.145749474,,,,,21342,,,,-0.145749474
0.076,0.148196697,,,,,21343,,,,-0.148196697
0.078,0.150620932,,,,,21344,,,,-0.150620932
0.08,0.153001757,,,,,21345,,,,-0.153001757
0.082,0.155317525,,,,,21346,,,,-0.155317525
0.084,0.157545553,,,,,21347,,,,-0.157545553
0.086,0.159662492,,,,,21348,,,,-0.159662492
0.088,0.161645219,,,,,21349,,,,-0.161645219
0.09,0.163472199,,,,,21350,,,,-0.163472199
0.092,0.165124776,,,,,21351,,,,-0.165124776
0.094,0.166587913,,,,,21352,,,,-0.166587913
0.096,0.167850664,,,,,21353,,,,-0.167850664
0.098,0.168906879,,,,,21354,,,,-0.168906879
0.1,0.169755999,,,,,21355,,,,-0.169755999
0.102,0.170403342,,,,,21356,,,,-0.170403342
0.104,0.170859535,,,,,21357,,,,-0.170859535
0.106,0.171139116,,,,,21358,,,,-0.171139116
0.108,0.171258552,,,,,21359,,,,-0.171258552
0.11,0.171234156,,,,,21360,,,,-0.171234156
0.112,0.171080141,,,,,21361,,,,-0.171080141
0.114,0.170806987,,,,,21362,,,,-0.170806987
0.116,0.170420851,,,,,21363,,,,-0.170420851
0.118,0.169924268,,,,,21364,,,,-0.169924268
0.12,0.169317315,,,,,21365,,,,-0.169317315
0.122,0.168598495,,,,,21366,,,,-0.168598495
0.124,0.167765289,,,,,21367,,,,-0.167765289
0.126,0.166814725,,,,,21368,,,,-0.166814725
0.128,0.16574407,,,,,21369,,,,-0.16574407
0.13,0.164551307,,,,,21370,,,,-0.164551307
0.132,0.163235315,,,,,21371,,,,-0.163235315
0.134,0.161795903,,,,,21372,,,,-0.161795903
0.136,0.160233558,,,,,21373,,,,-0.160233558
0.138,0.158549034,,,,,21374,,,,-0.158549034
0.14,0.156743186,,,,,21375,,,,-0.156743186
0.142,0.15481718,,,,,21376,,,,-0.15481718
0.144,0.152772853,,,,,21377,,,,-0.152772853
0.146,0.150612986,,,,,21378,,,,-0.150612986
0.148,0.14834151,,,,,21379,,,,-0.14834151
0.15,0.145963903,,,,,21380,,,,-0.145963903
0.152,0.143487642,,,,,21381,,,,-0.143487642
0.154,0.140922185,,,,,21382,,,,-0.140922185
0.156,0.138278318,,,,,21383,,,,-0.138278318
0.158,0.135567398,,,,,21384,,,,-0.135567398
0.16,0.132801087,,,,,21385,,,,-0.132801087
0.162,0.129991739,,,,,21386,,,,-0.129991739
0.164,0.12715292,,,,,21387,,,,-0.12715292
0.166,0.124299552,,,,,21388,,,,-0.124299552
0.168,0.121447692,,,,,21389,,,,-0.121447692
0.17,0.118614024,,,,,21390,,,,-0.118614024
0.172,0.11581523,,,,,21391,,,,-0.11581523
0.174,0.113067701,,,,,21392,,,,-0.113067701
0.176,0.110387629,,,,,21393,,,,-0.110387629
0.178,0.107790898,,,,,21394,,,,-0.107790898
0.18,0.105292622,,,,,21395,,,,-0.105292622
0.182,0.102906596,,,,,21396,,,,-0.102906596
0.184,0.100644756,,,,,21397,,,,-0.100644756
0.186,0.098516283,,,,,21398,,,,-0.098516283
0.188,0.09652631,,,,,21399,,,,-0.09652631
0.19,0.094674905,,,,,21400,,,,-0.094674905
0.192,0.092957212,,,,,21401,,,,-0.092957212
0.194,0.091364657,,,,,21402,,,,-0.091364657
0.196,0.089886369,,,,,21403,,,,-0.089886369
0.198,0.088510103,,,,,21404,,,,-0.088510103
0.2,0.087222807,,,,,21405,,,,-0.087222807
0.202,0.086011489,,,,,21406,,,,-0.086011489
0.204,0.084864367,,,,,21407,,,,-0.084864367
0.206,0.083771481,,,,,21408,,,,-0.083771481
0.208,0.082724361,,,,,21409,,,,-0.082724361
0.21,0.081715331,,,,,21410,,,,-0.081715331
0.212,0.080737317,,,,,21411,,,,-0.080737317
0.214,0.079784172,,,,,21412,,,,-0.079784172
0.216,0.078850842,,,,,21413,,,,-0.078850842
0.218,0.077933094,,,,,21414,,,,-0.077933094
0.22,0.077027112,,,,,21415,,,,-0.077027112
0.222,0.076129335,,,,,21416,,,,-0.076129335
0.224,0.075236671,,,,,21417,,,,-0.075236671
0.226,0.074346758,,,,,21418,,,,-0.074346758
0.228,0.073457661,,,,,21419,,,,-0.073457661
0.23,0.072567263,,,,,21420,,,,-0.072567263
0.232,0.071673223,,,,,21421,,,,-0.071673223
0.234,0.070773404,,,,,21422,,,,-0.070773404
0.236,0.069865999,,,,,21423,,,,-0.069865999
0.238,0.068949227,,,,,21424,,,,-0.068949227
0.24,0.06802121,,,,,21425,,,,-0.06802121
0.242,0.067080347,,,,,21426,,,,-0.067080347
0.244,0.066125714,,,,,21427,,,,-0.066125714
0.246,0.06515693,,,,,21428,,,,-0.06515693
0.248,0.064173567,,,,,21429,,,,-0.064173567
0.25,0.063174655,,,,,21430,,,,-0.063174655
0.252,0.062158763,,,,,21431,,,,-0.062158763
0.254,0.061124434,,,,,21432,,,,-0.061124434
0.256,0.060070673,,,,,21433,,,,-0.060070673
0.258,0.058997419,,,,,21434,,,,-0.058997419
0.26,0.057905809,,,,,21435,,,,-0.057905809
0.262,0.056798202,,,,,21436,,,,-0.056798202
0.264,0.055678288,,,,,21437,,,,-0.055678288
0.266,0.054551257,,,,,21438,,,,-0.054551257
0.268,0.053423753,,,,,21439,,,,-0.053423753
0.27,0.052303699,,,,,21440,,,,-0.052303699
0.272,0.051200301,,,,,21441,,,,-0.051200301
0.274,0.050124323,,,,,21442,,,,-0.050124323
0.276,0.049088396,,,,,21443,,,,-0.049088396
0.278,0.048106867,,,,,21444,,,,-0.048106867
0.28,0.047195113,,,,,21445,,,,-0.047195113
0.282,0.046368924,,,,,21446,,,,-0.046368924
0.284,0.045644058,,,,,21447,,,,-0.045644058
0.286,0.045035614,,,,,21448,,,,-0.045035614
0.288,0.044557171,,,,,21449,,,,-0.044557171
0.29,0.044220012,,,,,21450,,,,-0.044220012
0.292,0.044032396,,,,,21451,,,,-0.044032396
0.294,0.043998902,,,,,21452,,,,-0.043998902
0.296,0.044120151,,,,,21453,,,,-0.044120151
0.298,0.044392938,,,,,21454,,,,-0.044392938
0.3,0.044810644,,,,,21455,,,,-0.044810644
0.302,0.045363881,,,,,21456,,,,-0.045363881
0.304,0.046041006,,,,,21457,,,,-0.046041006
0.306,0.04682817,,,,,21458,,,,-0.04682817
0.308,0.047709205,,,,,21459,,,,-0.047709205
0.31,0.048665929,,,,,21460,,,,-0.048665929
0.312,0.049678841,,,,,21461,,,,-0.049678841
0.314,0.050727836,,,,,21462,,,,-0.050727836
0.316,0.051792617,,,,,21463,,,,-0.051792617
0.318,0.052852905,,,,,21464,,,,-0.052852905
0.32,0.053888739,,,,,21465,,,,-0.053888739
0.322,0.054880836,,,,,21466,,,,-0.054880836
0.324,0.055810619,,,,,21467,,,,-0.055810619
0.326,0.056659925,,,,,21468,,,,-0.056659925
0.328,0.057411046,,,,,21469,,,,-0.057411046
0.33,0.058047499,,,,,21470,,,,-0.058047499
0.332,0.058555223,,,,,21471,,,,-0.058555223
0.334,0.05892381,,,,,21472,,,,-0.05892381
0.336,0.059147401,,,,,21473,,,,-0.059147401
0.338,0.059224814,,,,,21474,,,,-0.059224814
0.34,0.059158942,,,,,21475,,,,-0.059158942
0.342,0.058956033,,,,,21476,,,,-0.058956033
0.344,0.058625481,,,,,21477,,,,-0.058625481
0.346,0.058179971,,,,,21478,,,,-0.058179971
0.348,0.057635229,,,,,21479,,,,-0.057635229
0.35,0.057009011,,,,,21480,,,,-0.057009011
0.352,0.056319749,,,,,21481,,,,-0.056319749
0.354,0.055585056,,,,,21482,,,,-0.055585056
0.356,0.054820105,,,,,21483,,,,-0.054820105
0.358,0.0540365,,,,,21484,,,,-0.0540365
0.36,0.05324213,,,,,21485,,,,-0.05324213
0.362,0.052441553,,,,,21486,,,,-0.052441553
0.364,0.051636519,,,,,21487,,,,-0.051636519
0.366,0.05082646,,,,,21488,,,,-0.05082646
0.368,0.050008818,,,,,21489,,,,-0.050008818
0.37,0.049179452,,,,,21490,,,,-0.049179452
0.372,0.048333323,,,,,21491,,,,-0.048333323
0.374,0.047465303,,,,,21492,,,,-0.047465303
0.376,0.046571093,,,,,21493,,,,-0.046571093
0.378,0.045647981,,,,,21494,,,,-0.045647981
0.38,0.044694896,,,,,21495,,,,-0.044694896
0.382,0.043711816,,,,,21496,,,,-0.043711816
0.384,0.042699058,,,,,21497,,,,-0.042699058
0.386,0.041656898,,,,,21498,,,,-0.041656898
0.388,0.040585493,,,,,21499,,,,-0.040585493
0.39,0.039484613,,,,,21500,,,,-0.039484613
0.392,0.038353206,,,,,21501,,,,-0.038353206
0.394,0.037189573,,,,,21502,,,,-0.037189573
0.396,0.035992428,,,,,21503,,,,-0.035992428
0.398,0.034761858,,,,,21504,,,,-0.034761858
0.4,0.033499285,,,,,21505,,,,-0.033499285
0.402,0.032206909,,,,,21506,,,,-0.032206909
0.404,0.030887388,,,,,21507,,,,-0.030887388
0.406,0.029543939,,,,,21508,,,,-0.029543939
0.408,0.028180533,,,,,21509,,,,-0.028180533
0.41,0.026802028,,,,,21510,,,,-0.026802028
0.412,0.025414252,,,,,21511,,,,-0.025414252
0.414,0.024024034,,,,,21512,,,,-0.024024034
0.416,0.022639019,,,,,21513,,,,-0.022639019
0.418,0.021267254,,,,,21514,,,,-0.021267254
0.42,0.019916851,,,,,21515,,,,-0.019916851
0.422,0.018596026,,,,,21516,,,,-0.018596026
0.424,0.017313298,,,,,21517,,,,-0.017313298
0.426,0.016077255,,,,,21518,,,,-0.016077255
0.428,0.014895761,,,,,21519,,,,-0.014895761
0.43,0.013774849,,,,,21520,,,,-0.013774849
0.432,0.012717338,,,,,21521,,,,-0.012717338
0.434,0.011721542,,,,,21522,,,,-0.011721542
0.436,0.010780839,,,,,21523,,,,-0.010780839
0.438,0.009884641,,,,,21524,,,,-0.009884641
0.44,0.009020332,,,,,21525,,,,-0.009020332
0.442,0.008175123,,,,,21526,,,,-0.008175123
0.444,0.007337278,,,,,21527,,,,-0.007337278
0.446,0.006496847,,,,,21528,,,,-0.006496847
0.448,0.005646101,,,,,21529,,,,-0.005646101
0.45,0.004779793,,,,,21530,,,,-0.004779793
0.452,0.003895191,,,,,21531,,,,-0.003895191
0.454,0.002991717,,,,,21532,,,,-0.002991717
0.456,0.002070632,,,,,21533,,,,-0.002070632
0.458,0.001135178,,,,,21534,,,,-0.001135178
0.46,0.000190655,,,,,21535,,,,-0.000190655
0.462,-0.000756116,,,,,21536,,,,0.000756116
0.464,-0.001697622,,,,,21537,,,,0.001697622
0.466,-0.002626343,,,,,21538,,,,0.002626343
0.468,-0.003535394,,,,,21539,,,,0.003535394
0.47,-0.004418954,,,,,21540,,,,0.004418954
0.472,-0.005272197,,,,,21541,,,,0.005272197
0.474,-0.006091038,,,,,21542,,,,0.006091038
0.476,-0.006871835,,,,,21543,,,,0.006871835
0.478,-0.007610839,,,,,21544,,,,0.007610839
0.48,-0.008303663,,,,,21545,,,,0.008303663
0.482,-0.00894526,,,,,21546,,,,0.00894526
0.484,-0.009530376,,,,,21547,,,,0.009530376
0.486,-0.010054432,,,,,21548,,,,0.010054432
0.488,-0.010514671,,,,,21549,,,,0.010514671
0.49,-0.010910863,,,,,21550,,,,0.010910863
0.492,-0.011245187,,,,,21551,,,,0.011245187
0.494,-0.011521838,,,,,21552,,,,0.011521838
0.496,-0.011747077,,,,,21553,,,,0.011747077
0.498,-0.011929651,,,,,21554,,,,0.011929651
0.5,-0.012080812,,,,,21555,,,,0.012080812
0.502,-0.012213534,,,,,21556,,,,0.012213534
0.504,-0.012341397,,,,,21557,,,,0.012341397
0.506,-0.012477626,,,,,21558,,,,0.012477626
0.508,-0.01263426,,,,,21559,,,,0.01263426
0.51,-0.012821591,,,,,21560,,,,0.012821591
0.512,-0.013048057,,,,,21561,,,,0.013048057
0.514,-0.01332026,,,,,21562,,,,0.01332026
0.516,-0.013642899,,,,,21563,,,,0.013642899
0.518,-0.014018752,,,,,21564,,,,0.014018752
0.52,-0.014448581,,,,,21565,,,,0.014448581
0.522,-0.014931027,,,,,21566,,,,0.014931027
0.524,-0.01546305,,,,,21567,,,,0.01546305
0.526,-0.016040443,,,,,21568,,,,0.016040443
0.528,-0.016657674,,,,,21569,,,,0.016657674
0.53,-0.017307786,,,,,21570,,,,0.017307786
0.532,-0.017983295,,,,,21571,,,,0.017983295
0.534,-0.018677502,,,,,21572,,,,0.018677502
0.536,-0.019385408,,,,,21573,,,,0.019385408
0.538,-0.020104133,,,,,21574,,,,0.020104133
0.54,-0.020832725,,,,,21575,,,,0.020832725
0.542,-0.021571349,,,,,21576,,,,0.021571349
0.544,-0.022320353,,,,,21577,,,,0.022320353
0.546,-0.023079824,,,,,21578,,,,0.023079824
0.548,-0.023849572,,,,,21579,,,,0.023849572
0.55,-0.024629056,,,,,21580,,,,0.024629056
0.552,-0.025417202,,,,,21581,,,,0.025417202
0.554,-0.026212251,,,,,21582,,,,0.026212251
0.556,-0.027011461,,,,,21583,,,,0.027011461
0.558,-0.027810721,,,,,21584,,,,0.027810721
0.56,-0.028604532,,,,,21585,,,,0.028604532
0.562,-0.029386244,,,,,21586,,,,0.029386244
0.564,-0.03014795,,,,,21587,,,,0.03014795
0.566,-0.030879982,,,,,21588,,,,0.030879982
0.568,-0.03157066,,,,,21589,,,,0.03157066
0.57,-0.032206451,,,,,21590,,,,0.032206451
0.572,-0.032772048,,,,,21591,,,,0.032772048
0.574,-0.033250565,,,,,21592,,,,0.033250565
0.576,-0.033624229,,,,,21593,,,,0.033624229
0.578,-0.033875132,,,,,21594,,,,0.033875132
0.58,-0.033985533,,,,,21595,,,,0.033985533
0.582,-0.033937735,,,,,21596,,,,0.033937735
0.584,-0.033713536,,,,,21597,,,,0.033713536
0.586,-0.033293484,,,,,21598,,,,0.033293484
0.588,-0.032656472,,,,,21599,,,,0.032656472
0.59,-0.031779792,,,,,21600,,,,0.031779792
0.592,-0.030639584,,,,,21601,,,,0.030639584
0.594,-0.029211654,,,,,21602,,,,0.029211654
0.596,-0.027472543,,,,,21603,,,,0.027472543
0.598,-0.025400803,,,,,21604,,,,0.025400803
0.6,-0.022978764,,,,,21605,,,,0.022978764
0.602,-0.020194507,,,,,21606,,,,0.020194507
0.604,-0.017043182,,,,,21607,,,,0.017043182
0.606,-0.013527033,,,,,21608,,,,0.013527033
0.608,-0.009654448,,,,,21609,,,,0.009654448
0.61,-0.005439026,,,,,21610,,,,0.005439026
0.612,-0.000898973,,,,,21611,,,,0.000898973
0.614,0.003943695,,,,,21612,,,,-0.003943695
0.616,0.009064185,,,,,21613,,,,-0.009064185
0.618,0.014435545,,,,,21614,,,,-0.014435545
0.62,0.020028706,,,,,21615,,,,-0.020028706
0.622,0.02581261,,,,,21616,,,,-0.02581261
0.624,0.03175451,,,,,21617,,,,-0.03175451
0.626,0.037820268,,,,,21618,,,,-0.037820268
0.628,0.043974895,,,,,21619,,,,-0.043974895
0.63,0.050183361,,,,,21620,,,,-0.050183361
0.632,0.056411272,,,,,21621,,,,-0.056411272
0.634,0.062625276,,,,,21622,,,,-0.062625276
0.636,0.068793163,,,,,21623,,,,-0.068793163
0.638,0.074883699,,,,,21624,,,,-0.074883699
0.64,0.080866667,,,,,21625,,,,-0.080866667
0.642,0.086713515,,,,,21626,,,,-0.086713515
0.644,0.09239811,,,,,21627,,,,-0.09239811
0.646,0.097896757,,,,,21628,,,,-0.097896757
0.648,0.103187594,,,,,21629,,,,-0.103187594
0.65,0.108249951,,,,,21630,,,,-0.108249951
0.652,0.113063902,,,,,21631,,,,-0.113063902
0.654,0.11761026,,,,,21632,,,,-0.11761026
0.656,0.1218711,,,,,21633,,,,-0.1218711
0.658,0.125830308,,,,,21634,,,,-0.125830308
0.66,0.12947388,,,,,21635,,,,-0.12947388
0.662,0.132790329,,,,,21636,,,,-0.132790329
0.664,0.135771416,,,,,21637,,,,-0.135771416
0.666,0.138412756,,,,,21638,,,,-0.138412756
0.668,0.140713735,,,,,21639,,,,-0.140713735
0.67,0.142676823,,,,,21640,,,,-0.142676823
0.672,0.144306786,,,,,21641,,,,-0.144306786
0.674,0.145610052,,,,,21642,,,,-0.145610052
0.676,0.146593917,,,,,21643,,,,-0.146593917
0.678,0.14726555,,,,,21644,,,,-0.14726555
0.68,0.147631367,,,,,21645,,,,-0.147631367
0.682,0.147697201,,,,,21646,,,,-0.147697201
0.684,0.147469262,,,,,21647,,,,-0.147469262
0.686,0.146955539,,,,,21648,,,,-0.146955539
0.688,0.146166751,,,,,21649,,,,-0.146166751
0.69,0.14511652,,,,,21650,,,,-0.14511652
0.692,0.143821122,,,,,21651,,,,-0.143821122
0.694,0.142298803,,,,,21652,,,,-0.142298803
0.696,0.140568885,,,,,21653,,,,-0.140568885
0.698,0.13865152,,,,,21654,,,,-0.13865152
0.7,0.136568229,,,,,21655,,,,-0.136568229
0.702,0.134342514,,,,,21656,,,,-0.134342514
0.704,0.132000058,,,,,21657,,,,-0.132000058
0.706,0.129568317,,,,,21658,,,,-0.129568317
0.708,0.127075595,,,,,21659,,,,-0.127075595
0.71,0.124549953,,,,,21660,,,,-0.124549953
0.712,0.122018307,,,,,21661,,,,-0.122018307
0.714,0.119505738,,,,,21662,,,,-0.119505738
0.716,0.117034873,,,,,21663,,,,-0.117034873
0.718,0.114625353,,,,,21664,,,,-0.114625353
0.72,0.112293584,,,,,21665,,,,-0.112293584
0.722,0.110052979,,,,,21666,,,,-0.110052979
0.724,0.107914358,,,,,21667,,,,-0.107914358
0.726,0.105885963,,,,,21668,,,,-0.105885963
0.728,0.103973102,,,,,21669,,,,-0.103973102
0.73,0.10217771,,,,,21670,,,,-0.10217771
0.732,0.100498206,,,,,21671,,,,-0.100498206
0.734,0.098929999,,,,,21672,,,,-0.098929999
0.736,0.097466168,,,,,21673,,,,-0.097466168
0.738,0.096097409,,,,,21674,,,,-0.096097409
0.74,0.094811591,,,,,21675,,,,-0.094811591
0.742,0.093593903,,,,,21676,,,,-0.093593903
0.744,0.092427241,,,,,21677,,,,-0.092427241
0.746,0.091292315,,,,,21678,,,,-0.091292315
0.748,0.090168007,,,,,21679,,,,-0.090168007
0.75,0.089032303,,,,,21680,,,,-0.089032303
0.752,0.087863367,,,,,21681,,,,-0.087863367
0.754,0.086640849,,,,,21682,,,,-0.086640849
0.756,0.085347255,,,,,21683,,,,-0.085347255
0.758,0.083968551,,,,,21684,,,,-0.083968551
0.76,0.082493964,,,,,21685,,,,-0.082493964
0.762,0.080915935,,,,,21686,,,,-0.080915935
0.764,0.079230438,,,,,21687,,,,-0.079230438
0.766,0.077436928,,,,,21688,,,,-0.077436928
0.768,0.07553773,,,,,21689,,,,-0.07553773
0.77,0.073537417,,,,,21690,,,,-0.073537417
0.772,0.071442517,,,,,21691,,,,-0.071442517
0.774,0.06926132,,,,,21692,,,,-0.06926132
0.776,0.067003582,,,,,21693,,,,-0.067003582
0.778,0.064680063,,,,,21694,,,,-0.064680063
0.78,0.062301944,,,,,21695,,,,-0.062301944
0.782,0.059880518,,,,,21696,,,,-0.059880518
0.784,0.057427269,,,,,21697,,,,-0.057427269
0.786,0.054953496,,,,,21698,,,,-0.054953496
0.788,0.052469212,,,,,21699,,,,-0.052469212
0.79,0.04998239,,,,,21700,,,,-0.04998239
0.792,0.047499039,,,,,21701,,,,-0.047499039
0.794,0.045023313,,,,,21702,,,,-0.045023313
0.796,0.042557492,,,,,21703,,,,-0.042557492
0.798,0.040102691,,,,,21704,,,,-0.040102691
0.8,0.037660175,,,,,21705,,,,-0.037660175
0.802,0.035232339,,,,,21706,,,,-0.035232339
0.804,0.032822902,,,,,21707,,,,-0.032822902
0.806,0.030436434,,,,,21708,,,,-0.030436434
0.808,0.028077658,,,,,21709,,,,-0.028077658
0.81,0.025751125,,,,,21710,,,,-0.025751125
0.812,0.023461349,,,,,21711,,,,-0.023461349
0.814,0.021212908,,,,,21712,,,,-0.021212908
0.816,0.019010394,,,,,21713,,,,-0.019010394
0.818,0.016858541,,,,,21714,,,,-0.016858541
0.82,0.014762571,,,,,21715,,,,-0.014762571
0.822,0.012728594,,,,,21716,,,,-0.012728594
0.824,0.010764049,,,,,21717,,,,-0.010764049
0.826,0.008877821,,,,,21718,,,,-0.008877821
0.828,0.007079795,,,,,21719,,,,-0.007079795
0.83,0.00538035,,,,,21720,,,,-0.00538035
0.832,0.003790474,,,,,21721,,,,-0.003790474
0.834,0.002322107,,,,,21722,,,,-0.002322107
0.836,0.000987622,,,,,21723,,,,-0.000987622
0.838,-0.000201661,,,,,21724,,,,0.000201661
0.84,-0.001236752,,,,,21725,,,,0.001236752
0.842,-0.002111366,,,,,21726,,,,0.002111366
0.844,-0.002822241,,,,,21727,,,,0.002822241
